"Biomarker.IDs","Biomarker.Names"
"HGNC:6344","KL"
"HGNC:17021","ASTN2"
"N/A","WBSCR17"
"HGNC:79","ABO"
"HGNC:21958","ZNF804B"
"HGNC:6015","IL4R"
"HGNC:10250","ROBO2"
"HGNC:29944","TENM3"
"N/A","WISP1"
"HGNC:19739","TTC6"
"HGNC:17108","ADAMTS16"
"HGNC:7598","MYO1D"
"HGNC:14004","ANO3"
"HGNC:14966","PXDN"
"HGNC:9994","RGS12"
"HGNC:10978","SLC24A4"
"HGNC:42048","LINC00331"
"HGNC:9446","PRLR"
"HGNC:27652","CPLX3"
"HGNC:49257","LINC00298"
"HGNC:3595","FAT1"
"HGNC:9671","PTPRG"
"HGNC:2380","HAPLN1"
"HGNC:19898","CHST9"
"HGNC:18634","UNC5D"
"HGNC:8023","NTF3"
"N/A","DKFZp686K1684"
"HGNC:19134","HS6ST3"
"HGNC:1073","BMP6"
"HGNC:23723","CERCAM"
"HGNC:23476","DOCK5"
"HGNC:4471","GPR17"
"HGNC:13834","CNTNAP3"
"HGNC:3039","DSCAM"
"HGNC:9459","PROX1"
"HGNC:15825","HIF3A"
"HGNC:676","ARHGAP6"
"HGNC:4894","HGFAC"
"HGNC:14065","HDAC9"
"HGNC:9675","PTPRM"
"HGNC:19952","PLSCR5"
"HGNC:19663","GNG12"
"HGNC:41353","LINC01014"
"HGNC:44150","ANAPC1P1"
"HGNC:3052","DSP"
"HGNC:553","AOX1"
"HGNC:3042","RCAN3"
"HGNC:3765","FLT3"
"HGNC:20692","TPH2"
"HGNC:5299","HTR4"
"HGNC:30200","VWC2"
"HGNC:33154","ELFN1"
"N/A","C8orf87"
"HGNC:1180","MPPED2"
"HGNC:29524","PDCL2"
"HGNC:29025","ZNF536"
"HGNC:671","RND3"
"HGNC:26677","L3MBTL4"
"HGNC:6934","MCAM"
"HGNC:10738","SEMA6A"
"HGNC:14454","GABRQ"
"HGNC:29471","LAYN"
"HGNC:10902","SLA"
"HGNC:6346","KLF12"
"HGNC:4585","GRIN2A"
"HGNC:8008","NRXN1"
"HGNC:19185","FRAS1"
"HGNC:20974","ADGRL3"
"HGNC:3802","FOXD1"
